ID,Remarks,Time,Geometry,Latitude,Longitude,Elevation,Ortho Height,Instrument Ht,Fix ID,Horizontal Accuracy,Vertical Accuracy,PDOP,HDOP,VDOP,Satellites in View,Satellites in Use
8,,05-08-2025 15:09:26.000 -0100,POINTZ(-38.403869806 72.628780817 3256.837),72.62878081700001,-38.403869806,3256.837,0,0,5,0.0116,0.0153,1.01,0.55,0.85,23,21
9,,05-08-2025 15:12:40.750 -0100,POINTZ(-38.404007272 72.628727076 3257.3001),72.628727076,-38.404007272,3257.3001,0,0,4,0.0131,0.0225,1.02,0.55,0.86,23,21
